text,http_urls,years
"In Ramsgate herkende Vincent de eigenaardige sfeer van de badplaats van andere plaatsen aan de kust die hij kende, zoals Den Haag en Scheveningen.

Hoewel hij moest wennen aan zijn nieuwe positie beviel de jongensschool hem. Hij beleefde er zo'n goede en onbezorgde tijd dat het hem verontrustte.

Vincent zou slechts korte tijd in Ramsgate wonen, omdat de kostschool waar hij werkte in juni verhuisde naar Isleworth, een plaatsje net buiten Londen. Vincent verhuisde mee.",https://www.vangoghroute.nl/engeland/ramsgate/?v=mobile,
Vincents vader was het niet eens met Vincents keuze om zondagsschool te geven in de Zionskapel aan de Amsterdamse Barndesteeg. Vermoedelijk had hij weinig op met de zendingsdrang van de kerkgemeenschap en bovendien vond hij dat het Vincent teveel afleidde van zijn hoofdzaak: het voorbereiden op zijn toelatingsexamen voor de studie theologie.,https://www.vangoghroute.nl/nederland/amsterdam/zionskapel/,
"In 1883 verbleef Vincent twee maanden in Nieuw-Amsterdam/Veenoord (Drenthe). De Drentse heide had een kalmerende werking op Vincent.

Vincent correspondeerde in deze periode nauwelijks over zijn woon- en werkomstandigheden of over de logementhouder (Hendrik Scholte) en zijn gezin. Hij schreef zijn broer voornamelijk over het wel of niet werkzaam blijven van Theo bij Goupil & Cie in Parijs. Vincent sprak zich erg negatief uit over de kunsthandel en was er groot voorstander van dat Theo schilder moest worden en zich bij hem in Drenthe moest voegen, zodat Vincent een klankbord had met wie hij over kunst kon praten. Theo besloot echter in Parijs te blijven.",https://www.vangoghroute.nl/nederland/drenthe/logement-scholte/?v=mobile,1883
"Toen Vincent van Gogh in Londen woonde, maakte hij kennis met Elbert Jan van Wisselingh (1848-1912), die destijds samen met Daniel Cottier (1837-1891) een kunsthandel in Londen had. Van Wisselingh was een Nederlander en had –net als Vincent- zijn training gehad bij Goupil & Cie (in Den Haag en Parijs). Van Wisselingh & Cottier waren slechts zakenpartners tussen 1874 en 1882. Na die tijd gingen ze uit elkaar. Cottier bleef in Londen, terwijl Van Wisselingh naar Parijs en later Amsterdam vertrok.",https://www.vangoghroute.nl/engeland/londen/van-wisselingh-and-cottier/,"1848, 1912, 1837, 1891, 1874, 1882"
"Vincent ging vaak naar de wekelijkse bijeenkomsten met kunstenaars die Toulouse-Lautrec bij hem thuis organiseerde. Toulouse-Lautrecs minnares, de kunstenares Suzanne Valadon (1865-1938), herinnerde zich dit:
""Ik herinner me dat Van Gogh naar onze wekelijkse bijeenkomsten kwam bij Lautrec. Hij arriveerde met een zwaar doek onder zijn arm, zette het in een hoek neer, maar wel goed in het licht, en wachtte tot we hem wat aandacht gaven. Niemand merkte hem op. Hij ging tegenover ons zitten, de blikken peilend, nauwelijks deelnemend aan het gesprek. Dan kreeg hij er genoeg van en vertrok met zijn nieuwste werk. Maar de week daarna kwam hij terug en begon het hele ritueel weer van voren af aan.""

Alhoewel er weinig bekend is over de vriendschap tussen Vincent en Toulouse-Lautrec moeten zij in de eerste maanden van 1887 intensief hebben samengewerkt. Toen Vincent uit Parijs weg ging in februari 1888, schreef hij Toulouse-Lautrec vermoedelijk vanuit Arles.",https://www.vangoghroute.nl/frankrijk/parijs/atelier-toulouse-lautrec/?v=mobile,"1865, 1938, 1887, 1888"
"Vincent organiseerde op eigen initiatief een expositie met werk van de kunstenaars Louis Anquetin, Émile Bernard, Arnold Hendrik Koning, Henri de Toulouse-Lautrec en hemzelf in Grand Bouillon-Restaurant du Chalet. Dat was een populair restaurant aan de Avenue de Clichy met eenvoudige en goedkope maaltijden waar Vincent in 1887 graag kwam.

Vincent van Gogh maakte deel uit van een opkomende groep jonge schilders in Parijs. De kunstenaars behoorden allemaal tot wat Vincent de ""Petit Boulevard"" noemde. De schilders van de Petit Boulevard scheidden zich af van succesvolle impressionisten als Monet, Degas en Renoir. Andere schilders van de Petit Boulevard waren Pissarro, Seurat, Signac, Gauguin, Laval, Bernard, Anquetin en Toulouse-Lautrec.",https://www.vangoghroute.nl/frankrijk/parijs/restaurant-du-chalet/,1887
"In januari 1877 begon Vincent als winkelbediende in de boekhandel Blussé & Van Braam. In december had Vincent de winkel alvast bezocht om te kijken of het wat voor hem was en in januari bleef hij na een eerste proefweek in Dordrecht. Vincent had de baan te danken aan bemiddeling van zijn oom Vincent 'Cent' van Gogh.

Blussé & Van Braam was een winkel met boeken, tijdschriften, kantoorartikelen, kaarten en prenten. Eén van Vincents taken was om verzendingen na te kijken.",https://www.vangoghroute.nl/nederland/dordrecht/blusse-van-braam/,1877
In Zuid-Afrika kreeg Cor te horen over het overlijden Vincent. Hij betreurde het verlies voornamelijk voor zijn moeder en broer. Zes maanden later verloor Cor zijn andere broer Theo. In zijn correspondentie schreef Cor dat hij Theo als zijn enige echte broer zag. De muurschildering is een eerbetoon aan Cor en de voormalige Bredase machinefabriek.,https://www.vangoghbrabant.com/nl/home/van-gogh-brabant/erfgoedlocaties/breda,
"Ondanks dat de relatie met zijn ouders was bekoeld, bleef Vincent contact houden met zijn ouders. Op 4 december vertrok Vincent te voet terug naar Hoogeveen, waar hij op 5 december de trein naar zijn ouders in Nuenen nam. Het is niet geheel duidelijk wat de reden(en) zijn voor zijn vertrek. Waarschijnlijk voelde hij zich niet goed, wat wellicht werd veroorzaakt door het herfstweer. Maar ook de kosten van het levensonderhoud vielen tegen; Drenthe was minder goedkoop dan hij had gehoopt. Zijn slechte financiële positie en het (niet) kunnen aanschaffen van schildersmaterialen zal ook zijn weerslag op Vincent hebben gehad. Ook de eenzaamheid en het missen van contact met andere kunstenaars kunnen een rol hebben gespeeld. In enkele brieven uit de periode na Drenthe uitte hij nog het verlangen ooit terug te kunnen keren naar Drenthe. Toch zou dit nooit gebeuren.",https://www.vangoghroute.nl/belgie/antwerpen/,
"Vincent huurde vanaf 7 mei 1889 voor één franc per nacht een kamer in Café de la Gare aan het Place Lamartine. Als atelier had hij inmiddels het 'Gele Huis' in gebruik. Vincent raakte bevriend met de café-eigenaren Joseph en Marie Ginoux. Dat belette Vincent niet om ruzie met hen te maken over het feit dat hij vond dat hij teveel moest betalen. Vincent schreef hierover aan Theo:
""Ik had de bedoelde kostbaas, die al met al geen slecht mens is, uitgescholden en gezegd dat ik, om me te wreken voor het onnodig betalen van zoveel geld, die hele smerige tent van hem zou schilderen om mijn geld terug te krijgen.""",https://www.vangoghroute.nl/frankrijk/arles/la-gare/,1889
